,Serial,Link,Address,Question,Answer Summary,Full Answer
881,2993,https://islamqa.info/en/answers/2993,"Woman goes out to gatherings
      of dhikr without permission","Question

                A woman is asking: what is
      the ruling on my going to the mosque or to a gathering of dhikr in a
      Muslim’s house for da’wah or to learn, without my father’s
      permission? If he knew about it he would stop me from going, but eemaan
      (faith) wears out just as clothes wear out, and I need to renew my faith
      because I am in an environment that is filled with munkaraat (undesirable
      things). Is it permissible for me to go in secret or what?",,"Praise be to Allah.Before
      marriage, a woman is under the guardianship of her father, so it is not
      permissible for her to go out of the house except with his permission,
      whether it is to go to the mosque or elsewhere, because obedience to
      one’s father is obligatory so long as it does not involve disobedience
      towards Allaah. We advise you to listen to broadcasts from the
      Al-Qur’aan Al-Kareem station, because there is much knowledge and sound
      teaching to be gained from it. They have a program called “Noor
      ‘ala’l-Darb (Light on the Way)” in which a group of scholars
      answer questions from listeners. May Allaah help you to do all that is
      good and grant you a sound understanding of Islam."
882,2995,https://islamqa.info/en/answers/2995,Brief summary of different kinds of vows and the rulings on them,"Question

                If a person makes niyyat of maanat that if
      his or her maanat is fulfilled,they will recit the story of Bebe Sayadia(RTA) or
      disterbute sweets in the name of ""Allah"" or pray 2 raakats of shukrana nafals or
      go to the shirn of a saint is this permited and what is the permited way of islam to do?",,"Praise be to Allah.This question includes a variety of issues, some of which are 
  very strange indeed. For your benefit and that of other readers, in sha Allaah, 
  we have discussed the issue of vows, their various types and the basic rulings 
  on vows in Question # 2587.
Another point related to your question is that a vow is only binding 
  if it is expressed verbally or by one's actions. If a person only has the intention 
  in his heart, this does not make it obligatory for him to fulfil the vow. One 
  must also beware of making vows that are bidah (innovations) or vows to 
  visit places that it is haraam to visit. We ask Allaah to give us the strength 
  to do that which He loves and that pleases Him. May Allaah bless our Prophet 
  Muhammad."
883,2997,https://islamqa.info/en/answers/2997,"Selling a box of toys whose
      contents are unknown","Question

                I have a grocery in
      which there is a product which consists of a carton in which are twelve
      boxes. This is called “Try Your Luck” – each box contains candy and
      a child’s toy, either a car, airplane, fan or train. Each box has a
      different toy inside. What is the ruling on selling these things to
      customers?",,"Praise be to Allah.In
      this kind of product the boxes are sealed and it is not known which kind
      of child’s toy is inside. This is bay’ majhool (selling
      something sight unseen), which lacks the necessary condition of knowledge
      of what is being sold, either by sight or by description. Hence it is not
      permissible to deal with this kind of product where what is being sold is
      not known, either by sight or by description, because it is a kind of
      deceptive sale such as was forbidden in the hadeeth of Abu Hurayrah (may
      Allaah be pleased with him), who narrated that the Prophet 
 (peace and
      blessings of Allaah be upon him) forbade sales of deception. (Narrated by Muslim, 3/1153)"
884,2999,https://islamqa.info/en/answers/2999,"Combining one’s secular
      specialty with Islamic knowledge","Question

                One of my brothers is confused, and the matter has to do with his studies. He is doing very well in mathematics and physics, but he wants to study Islamic knowledge at university next year, in sha Allaah. He told me that if he pursues his specialty – i.e., mathematics and physics – this will keep him from studying the Islamic sciences in depth. He is debating which of the two options will be best for him. What do you advise, may Allaah reward you?",,"Praise be to Allah.You brother could continue his studies in the
      specialty mentioned, and also study Islamic sciences with one of the
      scholars, or after completing his studies, he could join one of the
      institutes or colleges of sharee’ah in order to learn about his religion
      and gain knowledge and understanding of sharee’ah. If he fears that
      continuing to study mathematics will keep him from studying sharee’ah,
      he can give that up and occupy himself with Islamic studies, because this
      is more important and more beneficial, and because he was created to
      worship his Lord with insight. There is no way to do this except by the
      help of Allaah and then by studying the sciences of sharee’ah. May
      Allaah makes matters easy for him and bless him in his studies."
885,3000,https://islamqa.info/en/answers/3000,"Is the Rock in
    Bayt al-Maqdis (Jerusalem) suspended in the air?","Question

                They told us that the sacred rock from
      which the Prophet 
 (peace and blessings of Allaah be upon him) started his ascent into
      heaven on the night of the Mi’raaj is suspended in the air by the power of Allaah.
      Please tell us if this is correct, may Allaah reward you.",,"Praise be to Allah.Everything is standing in its position by the permission of Allaah,
    whether it be the heavens and all that is in them or the earth and all that is on it
    – even the rock which you asked about. Allaah says (interpretation of the meanings):
“Verily, Allaah grasps the heavens and the earth lest they move
    away from their places, and if they were to move away from their places, there is not one
    that could grasp them after Him…” [Faatir 35:41]
“And among His Signs is that the heaven and the earth stand by His
    Command…” [al-Room 30:25]
The Rock in Bayt al-Maqdis is not suspended in space with air around it
    on all sides; it is attached to the side of the mountain of which it is a part and by
    which it is supported; both it and the mountain stand in their positions because of the
    well-known physical laws governing the universe; in this regard it is like everything else
    that exists. We do not deny that Allaah is Able to hold part of His creation in space; all
    of creation is standing in space by the power of Allaah, as stated above. Allaah raised
    the mountain above the people of Moosa when they refused to follow the laws that Moosa
    brought them. It was held up by the power of Allaah. Allaah says (interpretation of the
    meaning):
“And (remember) when We took your Covenant and We raised above
    you the Mount (saying): ‘Hold fast to that which We have given you, and remember that
    which is therein so that you may become al-muttaqoon (the pious).” [al-Baqarah 2:63]
“And (remember) when We raised the mountain over them as if it had
    been a canopy, and they thought that it was going to fall on them. (We said): ‘Hold
    firmly to what We have given you, and remember that which is therein, so that you may fear
    Allaah and obey Him.” [al-A’raaf 7:171]
But our point here is to explain what is in fact the case: the rock in
    Jerusalem is not suspended in space, completely separate from the mountain; it is attached
    to it and is supported by it. And Allaah knows best."
886,3001,https://islamqa.info/en/answers/3001,"Are sperm alive or
    do they have no soul?","Question

                If the soul is breathed into the embryo
      after four months, are we to understand that the sperm which joins with the woman’s
      egg, from which the embryo is formed, has no soul, or what?",,"Praise be to Allah.Both the sperm and the ovum are alive in a sense which, if they are
    free from defects, prepares each of them to join with the other, if Allaah wills and
    decrees it to happen. When that happens, if Allaah wills it, the embryo is formed and is
    also alive in a manner that suits it and prepares it to grow and develop, moving through
    the known stages. When the soul is breathed into it, it becomes alive in another sense, by
    the permission of Allaah, the Subtle One, the Aware. No matter how a man tries, even if he
    is a highly-skilled doctor, he can never comprehend all the secrets and stages of
    development of pregnancy. Allaah says (interpretation of the meanings):
“Allaah knows what every female bears, and by how much the
    wombs fall short (of their time or number) or exceed. Everything with Him is in (due)
    proportion. All-Knower of the unseen and the seen, the Most Great, the Most High.”
    [al-Ra’d 13:8-9]
“Verily, Allaah! With Him (Alone) is the knowledge of the Hour, He
    sends down the rain, and knows that which is in the wombs…” [Luqmaan 31:34]
(Fataawa Islamiyyah li’l-Lajnah al-Daa’imah, 488).
Life is of varying kinds, and each being is alive in a
    manner that suits it by the power of Allaah. So plants are alive in a manner that suits
    them, sperm is alive in a manner that suits it, and man is alive in a manner that suits
    him, and so on. Allaah is the Creator of all this, and He has made water the basis of
    every living thing, as He says in the Qur’aan (interpretation of the meaning):
“Have not those who disbelieve known that the heavens and the
    earth were joined together as one united piece, then We parted them? And We have made from
    water every living thing. Will they not then believe?” [al-Anbiya’ 21:30]
And Allaah knows best."
887,3002,https://islamqa.info/en/answers/3002,Writing“Bismillaah ir-Rahmaaan il-raheem” on wedding invitations is permissible,"Question

It is permissible to write the Basmalah (“Bismillaah ir-Rahmaan ir-Raheem”) on wedding invitations, given that after the event they will be thrown on the streets or into the garbage?",,"Praise be to Allah.It is permissible to write the Basmalah on invitations and other letters, because the Prophet (peace and blessings of Allah be upon him) used to begin his letters by mentioning the name of Allah. It is not permissible for anyone who receives a letter in which Allah is mentioned or an aayah of the Qur’aan is quoted to throw it into the garbage or put it in any undesirable place. The same applies to newspapers and other similar papers: it is not permitted to mishandle them or throw them in the garbage, or to use them to wrap food or other things, because the name of Allah is mentioned in them. The sin is on the person who does this, not on the one who writes it. And Allah knows best."
888,3003,https://islamqa.info/en/answers/3003,Ruling on selling razors,"Question

                My father sends me boxes of
      razors to sell. Given that these razors are usually used for shaving
      beards, and rarely for shaving moustaches and pubic hairs, and for this
      reason I feel doubtful, is it halaal or haraam, i.e., should I sell them
      or not?",,"Praise be to Allah.It
      is not haraam for you to sell them and benefit from their price, but they
      are haraam for the one who intends to use them for a haraam purpose."
889,3004,https://islamqa.info/en/answers/3004,Opening      a store to sell reptiles and predatory animals,"Question

I want to ask a question about the Islamic ruling on dealing in and buying animals for hobby purposes or for decorative purposes. These include the following, which is not a comprehensive list Decorative birds such as parrots and other colourful birds Reptiles such as snakes and lizards Predators such as wolves, lions, foxes, etc. -- where these animals are kept for their beautiful appearance or used for their fur. It is known that they are expensive and will be kept behind bars, but dealing in them is very profitable.",,"Praise be to Allah.Firstly: selling decorative birds like parrots, colourful birds and nightingales for their voices is permissible, because looking at them and listening to them is something that is permissible. There is no text in the sharee’ah which forbids selling them or collecting them; however there are texts which may be understood as meaning that it is permissible to keep them in cages, so long as they are fed and watered and given whatever care is needed. Among these texts is the hadeeth narrated by al-Bukhaari from Anas, who said: “The Prophet (peace and blessings of Allah be upon him) was the best of people in attitude. I had a brother called Abu ‘Umayr, who had just been weaned, I think. When (the Prophet (peace and blessings of Allah be upon him)) came, he would say, ‘O Abu ‘Umayr, what happened to the nughayr?’ – a nughar [young sparrow or small bird] with which he used to play.” This nughar is a type of bird. Al-Haafiz ibn Hajar said in his commentary (Fath al-Baari), when enumerating the things that we learn from this hadeeth: “… it is permissible for children to play with birds; it is permissible for parents to allow their children to play with things with which it is permissible to play; it is permissible to spend money on permissible things to entertain children; it is permissible to keep a bird in a cage or to clip a birds’ wings – for one or the other must have been the case with Abu ‘Umayr’s bird, and whichever one it was, the other is also implied in the ruling.
There is also the hadeeth narrated by Abu Hurayrah (may Allah be pleased with him), in which the Messenger of Allah (peace and blessings of Allah be upon him) said: “A woman entered Hell because of a cat which she detained but she did not give it food or water, and she did not let it free so that it could eat of the vermin of the earth.” (Narrated by al-Bukhaari in al-Saheeh, 4/100,152; Ahmad, 2/261). If this is permissible in the case of cats, then it is also permissible in the case of birds etc.
Some scholars believed it to be makrooh to keep them in cages. Some believed that it was not allowed, and said: because people do not need to listen to their voices and look at them. This is an unnecessary luxury and soft living, and it is also foolishness because it means that one is enjoying the voice of a creature that is calling out in longing to be allowed to fly and grieving that it cannot fly freely in the open air – as was stated in the book Al-Furoo’ wa Tasheehuh by al-Mirdaawi, 4/9, and al-Insaaf, 4/275.
Secondly: among the conditions of valid sales is that the thing to be sold is something which it is permissible to use and benefit from, even if there is no necessity as such. There is no benefit in snakes, which are indeed harmful, so it is not permissible to buy or sell them. The same applies to lizards – there is no benefit in them, so it is not permissible to sell or buy them.
Thirdly: it is not permissible to sell predators such as wolves, lions, foxes or any other fanged carnivore, because the Prophet (peace and blessings of Allah be upon him) forbade that, and because it is a waste of money, which was also forbidden by the Prophet (peace and blessings of Allah be upon him)."
890,3005,https://islamqa.info/en/answers/3005,Is It Prohibited to Burn Insects?,"Question

Is it permissible to kill insects that may be found in the house, such as ants, cockroaches and the like, by burning them? If it is not permissible, what should we do?","1.	If ants or cockroaches or dung-beetles cause harm, they may be killed with insecticides but not with fire. 
2.	The Prophet told us that rats, scorpions, crows, kites [a hawk-like bird], and mad dogs are harmful pests, and he told us to kill them whether we are in Ihram or not.","Praise be to Allah.If these insects are harmful, they may be killed with insecticides, but not with fire. The Messenger (peace and blessings of Allah be upon him) said: “There are five pests that may be killed whether one is in Ihram or not: rats, scorpions, crows, kites [a hawk-like bird], and mad dogs.” (Reported by Muslim, 2071) Another report adds a sixth, snakes. 
Thus the Prophet (peace and blessings of Allah be upon him) told us that they are harmful pests, and that they are unlike other animals which do not do harm, and so he told us to kill them whether we are in Ihram or not. 
If other creatures, such as ants or cockroaches or dung-beetles, cause harm, they may also be killed with insecticides, but not with fire. 
For more details, please refer to the following answers: 105190 , 2896 , and 289055 . 
And Allah knows best."
891,3006,https://islamqa.info/en/answers/3006,"Ruling on
    illegitimate children","Question

                Can an illegitimate person enter
      Paradise if he obeys Allaah? Is there any sin on him or not?",,"Praise be to Allah.An illegitimate child does not bear any sin because of
    his parents’ having committed the sin of zinaa (unlawful sexual intercourse), because
    that was not of his doing. They bear their own sin, because Allaah says (interpretation of
    the meanings): 
    “… He gets reward for that (good) which he has earned, and
    he is punished for that (evil) which he has earned…” [al-Baqarah 2:286]
“… no bearer of burdens shall bear the burden of
    another…” [al-An’aam 6:164]
With regard to his ultimate destiny, the illegitimate person is like
    anyone else: if he obeys Allaah and does righteous deeds, and dies as a Muslim, then
    Paradise will be his; if he disobeys Allaah and dies as a kaafir, then he will be one of
    the people of Hell. If he mixes righteous deeds and bad deeds, and dies as a Muslim, then
    his fate is up to Allaah: if He wills, He will forgive him, if He wills, He will punish
    him, and his eventual admission to Paradise will be by the Grace and Mercy of Allaah. As
    for the hadeeth which says that an illegitimate person will not enter Paradise, this is a
    fabrication (falsely attributed to the Prophet SAWS (peace and blessings of Allaah be upon
    him)). And Allaah knows best."
892,3007,https://islamqa.info/en/answers/3007,A list of brief Islamic sayings for sending to one’s friends,"Question

On a daily basis I send out short enlightening phrases/verses from hadeeth to my friends via SMS (text message) to their cellular phones. I am in search of short phrases/quotes/verses which are islamic. Could you please send me a list or refer me to a website where I can find some. My friends have become accostomed to recieving their daily quote..etc and I have noticed that these quotes have had a positive influence on them and would like to continue doing this. Your response to my request will be appreciated",,"Praise be to Allah.May Allaah reward you for your great efforts to call your brothers to Allaah and advise and remind them by means of these brief Islamic quotations. There follows a list of some wise sayings and general rules, taken from the Qur’aan, Sunnah and words of Muslim wise men. Translations of the meanings of quotations from the Qur’aan appear in italics, quotations from saheeh ahaadeeth appear in quotation marks (“”) and other quotations appear without any such marks.
And whenever you give your word, say the truth [al-An’aam 6:152]
And seek help in patience and prayer [al-Baqarah 2:45]
And speak good to people [al-Baqarah 2:83]
And fulfil the Covenant of Allaah when you have covenanted [al-Nahl 16:91]
Verily! Allaah commands that you should render back the trusts to those to whom they are due [al-Nisa’ 4:58]
And let not your hand be tied (like a miser) to your neck, nor stretch it forth to its utmost reach (like a spendthrift) [al-Isra’ 17:29]
Eat and drink, but waste not by extravagance [al-A’raaf 7:31]
And take a provision (with you) for the journey, but the best provision is al-taqwa (piety, righteousness) [al-Baqarah 2:197]
And whosoever fears Allaah and keeps his duty to Him, He will make a way for him to get out (from every difficulty) [al-Talaaq 65:2]
And whosoever puts his trust in Allaah, then He will suffice him [al-Talaaq 65:3]
He who obeys the Messenger has indeed obeyed Allaah [al-Nisa’ 4:80]
By no means shall you attain al-birr (righteousness) until you spend (in Allaah’s cause) of that which you love [Aal ‘Imraan 3:92]
Allaah (Alone) is Sufficient for us, and He is the Best Disposer of Affairs (for us) [Aal ‘Imraan 3:171]
And walk not on the earth with conceit and arrogance [al-Isra’ 17:37]
And turn not your face away from men with pride [Luqmaan 31:18]
And be moderate (or show no arrogance) in your walking, and lower your voice [Luqmaan 31:19]
And give not a thing in order to have more (or consider not your deeds of obedience to Allaah as a favour to Allaah) [al-Muddaththir 74:6]
“Pay attention to Allaah and He will pay attention to you.”
“If you feel no shame, then do as you wish.”
“Make sure your food is good (halaal and bought with halaal earnings), and you will be one whose prayers are answered.”
“Fear Allaah wherever you may be.”
“Follow up a bad deed with a good deed, to cancel it out.”
“Mix with people with a good attitude.”
“Keep away from prohibited things and you will be the best of worshippers.”
“Be content with what Allaah has given you, and you will be the richest of people.”
“Love for other people what you love for yourself.”
“Do not laugh too much, for excessive laughter deadens the heart.”
“Wrongdoing will be multiple darkness on the Day of Resurrection.”
“Fear Allaah and treat all your children fairly.”
“Fear the Fire, even if by giving half a date (in charity).”
“Fear the prayer of the oppressed.”
“The thing that weighs most heavily in the balance (of good deeds) is a good attitude.”
“Deliberation is from Allaah, haste is from Shaytaan.”
“The less your wealth, the less you will be called to account for.”
“Do not become angry, and Paradise will be yours.”
“The most beloved of deeds to Allaah is the one that is continuous, even if it is little.”
“The most beloved of places to Allaah are the mosques.”
“The most hated of places to Allaah are the marketplaces.”
“The most beloved of food to Allaah is that which is touched by many hands (i.e., shared among many people).”
“The most beloved of speech to Allaah is that a person should say, ‘Subhaan Allaah wa bi hamdih (Glory and praise be to Allaah)’.”
“The most beloved of people to Allaah is the one who is most helpful.”
“The most beloved deed to Allaah is making a Muslim happy.”
“Whoever restrains his anger, Allaah will conceal his faults.”
“A bad attitude spoils a good deed just as vinegar spoils honey.”
“The most beloved of people to Allaah are those who have the best attitudes.”
“Beware of this world, for it is sweet and tempting.”
“Control your tongue.”
“Trim your moustaches and let your beards grow.”
“Give back the things you have been entrusted with to the person who entrusted them to you.”
“Do not betray the one who betrays you.”
“Pray to Allaah and be confident of a response.”
“Cheer people up, do not put them off.”
“Make things easy for people, not difficult.”
“Eat with your right hand and eat from what is in front of you.”
“If Allaah gives you wealth, let the blessing of Allaah be seen on you.”
“If someone who is distinguished among his own people comes to you, then honour him.”
“If one with whose religion and character you are pleased comes to you (to seek your daughter’s hand in marriage), then marry (your daughter) to him.”
“If Allaah wills good to the people of a household, He guides them to be gentle.”
“If you do something bad, follow it by doing something good.”
“If you feel uncomfortable about something, then leave it alone.”
“If you judge (between people), then judge fairly.”
“If you enter a house, greet the inhabitants with salaam.”
“If you are reminded of Allaah, stop what you are doing (of sin).”
“If Allaah sends you some provision without you looking forward to it or asking others for it, then take it.”
“If you ask Allaah for anything, then ask Him for al-Firdaws (the highest level of Paradise).”
“If your good deeds please you and your bad deeds upset you, then you are a mu’min (believer).”
“If you hear the call to prayer, then respond to the one who is calling you to Allaah.”
“If you hear the call to prayer, then say something like the muezzin says.”
“If any one of you becomes angry, let him keep silent.”
“If a man becomes angry and says ‘A’oodhu Billaah (I seek refuge with Allaah),’ his anger will cease.”
“If a man says ‘Ya seedi (sir)’ to a munaafiq (hypocrite), he earns the wrath of his Lord.”
“When you stand up to pray, pray as if it is your last prayer.”
“When you get dressed and when you do wudoo’, start on the right.”
“When any one of you meets his brother, let him greet him with salaam.”
“Remember death when you are praying.”
“Show mercy towards those who are on earth so that the One Who is in heaven will show mercy to you.”
“Renounce pleasure in worldly things and Allaah will love you.”
“Show disinterest in what people have and people will love you.”
“Feel properly shy and modest before Allaah.”
Protect “the head and what does through it (thoughts and ideas).”
Protect “the stomach and what goes into it.”
“Seek help in whatever you do by being discreet.”
“Everyone who is given a blessing will be envied.”
“No one can keep their wudoo’ except a believer.”
“The worst thief among people is the one who steals from his prayer, by not doing rukoo’ and sujood properly.”
“Intercede and you will be rewarded.”
“The most grateful of people to Allaah are those who are most grateful to other people.”
The trouble with beauty is feelings of superiority.
The trouble with generosity is extravagance.
The trouble with noble descent is pride.
The trouble with knowledge is forgetfulness.
“Give to the one who denied you.”
“Uphold ties with the one who cuts you off.”
“Forgive the one who does you wrong.”
May Allaah have mercy on the person who said “Good” and was rewarded or who remained silent and was safe.
Wine is the key to all evil.
The one who is more daring in giving fatwas is more deserving of Hell.
Love the poor and mix with them.
It is better to err in forgiving than to err in punishment.
Do not judge between people when you are angry.
If you want to count the faults of anyone else, count your own faults instead.
If you commit a sin, say “Astaghfir-Allaah (I ask Allaah for forgiveness).”
If you are given a blessing, say, “Al-Hamdu Lillaah (praise be to Allaah).”
If some disaster befalls you, say, “Innaa Lillaahi wa innaa ilayhi raaji’oon (Truly, to Allaah we belong and truly, to Him we shall return).”
Seek rizq (provision) by giving charity
“Give food to others and speak good.”
“Seek a response to du’aa’s when the iqaamah for prayer is given and when rain is falling.”
The people with the longest necks on the Day of Resurrection will be the muezzins.
“Worship Allaah as if you see Him.”
“The most helpless of people are those who cannot make du’aa’.”
“The most miserly of people are those who are stingy with their salaams (i.e., do not greet others).”
“Pay the hired worker his wages before his sweat dries.”
“Tie up (your camel) [i.e., take the necessary precautions], and put your trust in Allaah.”
“Make the most of your life before your death.”
Make the most of “your health before your sickness.”
Make the most of “your free time before you become busy.”
Make the most of “your wealth before you become poor.”
Make the most of “your youth before you become old.”
“The best of dhikr is ‘La ilaaha ill-Allaah.’”
“The best of sadaqah (charity) is that given by one who has little.”
“The upper hand (the one that gives) is better than the lower hand (the one that takes).”
The best of earnings is a good sale.
“The best of the believers is one who is best in attitude.”
“The best of the muhaajireen is the one who forsakes (hajara) that which Allaah has prohibited.”
“The best type of jihaad is the jihaad of the one who strives against his own self (jihaad al-nafs) for the sake of Allaah.”
“Read the Qur’aan throughout every month.”
“Read the Qur’aan, for it will come and intercede for its readers on the Day of Resurrection.”
“Pray for Allaah to keep you safe and sound.”
“Most of the sins committed by the son of Adam are sins of the tongue.”
“Repeat often ‘Laa hawla wa laa quwwata illa billaah (there is no power or strength except with Allaah)’, for it is from the treasure of Paradise.”
“Always remember the destroyer of joy (physical pleasure): death.”
“Lower your gaze and guard your private parts.”
“There is no goodness in the one who is not friendly or likeable.”
“Stay with her (the mother), for Paradise is under her feet.”
“Keep saying ‘Yaa Dhaa’l-jalaali wa’l-ikraam (O Possessor of Glory and Honour)’” i.e., keep repeating it persistently.
“Islam cancels out what came before it (of sins).”
“Every bid’ah (innovation) is a going astray and every going astray will end in Hell.”
“Control your tongue, let your house be enough for you, and weep for your sins.”
“(Take care of) your mother, then your mother, then your mother, then your father, then other relatives in order of closeness.”
“Feed the poor and pat the head of the orphan (i.e., show compassion).”
“The one who points the way to good deeds is like the one who does them.” 
This is a list of useful sayings and general rules, which we ask Allaah to make of benefit to people. When you have finished sending them out, if you would like more, just let us know so that we can compile some more. And Allaah is the Source of strength."
893,3009,https://islamqa.info/en/answers/3009,Are Prayer Beads Allowed in Islam?,"Question

What is the ruling on using prayer beads?","Some scholars say that it is permissible to use prayer beads (Masbahah ), but they say that it is preferable to do Tasbih (count praises) on one’s fingers; others say that it is Bid`ah (reprehensible religious innovation).","Praise be to Allah.Some scholars say that it is permissible to use the Masbahah (prayer beads), but they say that it is preferable to do Tasbih (count praises) on one’s fingers; others say that it is Bid`ah (reprehensible religious innovation).
Shaykh Al-Islam Ibn Taymiyah (may Allah have mercy on him) said in Al-Fatawa (22/187): 
“Some of them might show off by putting their prayer-mats over their shoulders and carrying their Masbahah in their hands, making them symbols of religion and prayer. It is known from the Mutawatir reports (reports in such large numbers that they couldn’t be forged) that neither the Prophet (peace and blessings of Allah be upon him) nor his Companions used these as symbols. They used to recite Tasbih and count on their fingers, as the Hadith says: “Count on your fingers, for they will be asked, and will be made to speak.” Some of them may count their Tasbih with pebbles or date stones. Some people say that doing Tasbih with the Masbahah is disliked, and some allow it, but no one says that Tasbih with the Masbahah is better than Tasbih with the fingers.” Then he (may Allah have mercy on him) goes on to discuss the issue of showing off with the Masbahah, saying that it is showing off with regard to something that is not prescribed by Islam, which is worse than showing off with regard to something that is prescribed.”
Al-Shaykh Muhammad ibn Salih Al-`Uthaymin (may Allah have mercy on him) was asked  (al-Al-Liqa al-Al-MaftoohMaftuh, 3/30) whether using the Masbahah for Tasbih is Bid`ah, and his reply was: 
“It is better not to do Tasbih with the Masbahah, but it is not Bid`ah , because there is a basis for it, which is the fact that some of the Sahabah (Companions) did Tasbih with pebbles. But the Messenger (peace and blessings of Allah be upon him) taught us that Tasbih with the fingers is better, as he said, `Count with the fingertips, for they will be made to speak.’ Doing Tasbih with the Masbahah is not haram (impermissible) or Bid`ah, but it is better not to do it, because the one who does Tasbih with the Masbahah has shunned something better. Using the Masbahah may also be contaminated with some element of showing off, because we see some people carrying Masbahah that contain a thousand beads, as if they are telling people, `Look at me, I do a thousand Tasbihs!’ Secondly, those who use the Masbahah for Tasbih are usually absent-minded and not focused, so you see them doing Tasbih with the beads, but their gaze is wandering all over the place, which indicates that they are not really concentrating. It is better to do Tasbih with one’s fingers, preferably using the right hand rather than the left, because the Prophet (peace and blessings of Allah be upon him) used to count his Tasbih on his right hand. If a person counts his Tasbih using both hands, there is nothing wrong with that, but it is better to use the right hand only.”
Ash-Shaykh Muhammad Nasir Al-Din Al-Albani (may Allah have mercy on him) said in As-Silsilah Ad-Da`ifah (1/110), where he quotes the (inauthentic) Hadith “What a good reminder is the Subhah [Masbahah],”
“In my view, the meaning of this Hadith is invalid for a number of reasons:

Firstly, the Subhah [Masbahah] is Bid`ah and was not known at the time of the Prophet (peace and blessings of Allah be upon him). It happened after that, so how could he (peace and blessings of Allah be upon him) have encouraged his Sahabah to do something that was unknown to them? The evidence for what I have said is the report narrated by Ibn Waddah in Al-Bid’ wa’l-Nahy `anha from Al-Salt ibn Bahram, who said: `Ibn Mas’ood passed by a woman who had a [Masbahah] with which she was making Tasbih, and he broke it and threw it aside, then he passed by a man who was making Tasbih with pebbles, and he kicked him then said, “You think you are better than the Sahabah, but you are following unjustified Bid`ah! You think you have more knowledge than the Companions of Muhammad (peace and blessings of Allah be upon him)!”’ Its chain of narrators is authentic to As-Salt, who is one of the trustworthy followers of the Tabi`in.
Secondly, it goes against the guidance of the Prophet (peace and blessings of Allah be upon him). `Abdulah ibn `Amr (may Allah be pleased with him) said, `I saw the Messenger of Allah (peace and blessings of Allah be upon him) counting the Tasbih on his right hand.’”

He also said (1/117): 
“If there is only one bad thing about the Masbahah, which is that it takes the place of the Sunnah of counting on the fingers, even though all agree that counting on the fingers is preferable, then that is bad enough. How rarely I see people counting their Tasbih on their fingers!
Moreover, people have invented so many sophisticated ways of following this Bid`ah, so you see the followers of one of the [Sufi] Tariqahs (orders) wearing the Masbahah around their necks ! Or some of them counting with the beads whilst talking or listening to you! Or another one – the like of whom I have not seen for some time – riding his bicycle through a street crowded with people, with the Masbahah in one of his hands! They are showing the people that they are not distracted from the remembrance of Allah for even an instant, but in many cases this Bid`ah is a cause of their neglecting what is obligatory. It has happened many times – to others as well as myself – that when I greet one of these people with Salam, they answer only by waving and not by saying the words of the greeting. The bad results of this Bid`ah are innumerable, and no one can say it better than the poet:
`All goodness is in following that which went before (the Salaf)
All badness is in the innovations of those who came later.’”
And Allah knows best."
